timestamp,index,name,memory.used.MiB,memory.total.MiB,utilization.gpu,power.draw.W
2026/08/17 13:12:58.719, 0, NVIDIA A100-SXM4-80GB, 0, 81920, 0, 64.43
2026/08/17 13:12:59.760, 0, NVIDIA A100-SXM4-80GB, 0, 81920, 0, 64.43
2026/08/17 13:13:00.798, 0, NVIDIA A100-SXM4-80GB, 0, 81920, 0, 64.43
2026/08/17 13:13:01.835, 0, NVIDIA A100-SXM4-80GB, 0, 81920, 0, 64.43
2026/08/17 13:13:02.874, 0, NVIDIA A100-SXM4-80GB, 0, 81920, 0, 64.43
2026/08/17 13:13:03.912, 0, NVIDIA A100-SXM4-80GB, 0, 81920, 0, 64.35
2026/08/17 13:13:04.952, 0, NVIDIA A100-SXM4-80GB, 4, 81920, 0, 64.43
2026/08/17 13:13:05.993, 0, NVIDIA A100-SXM4-80GB, 4, 81920, 0, 64.43
2026/08/17 13:13:07.033, 0, NVIDIA A100-SXM4-80GB, 422, 81920, 3, 66.88
2026/08/17 13:13:08.072, 0, NVIDIA A100-SXM4-80GB, 422, 81920, 0, 66.88
2026/08/17 13:13:09.110, 0, NVIDIA A100-SXM4-80GB, 422, 81920, 0, 66.88
2026/08/17 13:13:10.147, 0, NVIDIA A100-SXM4-80GB, 422, 81920, 0, 66.88
2026/08/17 13:13:11.185, 0, NVIDIA A100-SXM4-80GB, 422, 81920, 0, 66.88
2026/08/17 13:13:12.223, 0, NVIDIA A100-SXM4-80GB, 422, 81920, 0, 66.88
2026/08/17 13:13:13.260, 0, NVIDIA A100-SXM4-80GB, 422, 81920, 0, 66.88
2026/08/17 13:13:14.299, 0, NVIDIA A100-SXM4-80GB, 422, 81920, 0, 66.88
2026/08/17 13:13:15.338, 0, NVIDIA A100-SXM4-80GB, 422, 81920, 0, 66.88
2026/08/17 13:13:16.379, 0, NVIDIA A100-SXM4-80GB, 422, 81920, 0, 66.80
2026/08/17 13:13:17.417, 0, NVIDIA A100-SXM4-80GB, 5208, 81920, 8, 68.17
2026/08/17 13:13:18.456, 0, NVIDIA A100-SXM4-80GB, 10714, 81920, 11, 69.28
2026/08/17 13:13:19.496, 0, NVIDIA A100-SXM4-80GB, 16564, 81920, 37, 67.64
2026/08/17 13:13:20.538, 0, NVIDIA A100-SXM4-80GB, 22396, 81920, 40, 67.93
2026/08/17 13:13:21.576, 0, NVIDIA A100-SXM4-80GB, 24032, 81920, 0, 67.11
2026/08/17 13:13:22.618, 0, NVIDIA A100-SXM4-80GB, 30608, 81920, 83, 286.42
2026/08/17 13:13:23.657, 0, NVIDIA A100-SXM4-80GB, 30752, 81920, 85, 270.84
2026/08/17 13:13:24.701, 0, NVIDIA A100-SXM4-80GB, 30858, 81920, 100, 261.28
2026/08/17 13:13:25.740, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 247.41
2026/08/17 13:13:26.777, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 268.24
2026/08/17 13:13:27.815, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 87, 266.08
2026/08/17 13:13:28.857, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 274.14
2026/08/17 13:13:29.894, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 246.60
2026/08/17 13:13:30.936, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 266.34
2026/08/17 13:13:31.974, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 257.30
2026/08/17 13:13:33.011, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 265.31
2026/08/17 13:13:34.049, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 285.32
2026/08/17 13:13:35.090, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 249.52
2026/08/17 13:13:36.127, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 278.12
2026/08/17 13:13:37.169, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 230.57
2026/08/17 13:13:38.208, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 98, 277.51
2026/08/17 13:13:39.247, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 94, 259.93
2026/08/17 13:13:40.286, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 98, 284.26
2026/08/17 13:13:41.330, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 88, 272.50
2026/08/17 13:13:42.367, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 242.85
2026/08/17 13:13:43.412, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 269.58
2026/08/17 13:13:44.450, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 272.18
2026/08/17 13:13:45.491, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 248.17
2026/08/17 13:13:46.529, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 37, 275.20
2026/08/17 13:13:47.569, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 259.17
2026/08/17 13:13:48.608, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 98, 247.94
2026/08/17 13:13:49.646, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 263.65
2026/08/17 13:13:50.684, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 267.39
2026/08/17 13:13:51.729, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 98, 270.64
2026/08/17 13:13:52.768, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 269.29
2026/08/17 13:13:53.807, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 259.70
2026/08/17 13:13:54.845, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 250.62
2026/08/17 13:13:55.889, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 246.60
2026/08/17 13:13:56.928, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 98, 264.93
2026/08/17 13:13:57.966, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 262.91
2026/08/17 13:13:59.003, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 100, 259.17
2026/08/17 13:14:00.042, 0, NVIDIA A100-SXM4-80GB, 32658, 81920, 98, 245.01
