index,uuid,name,utilization.gpu,utilization.memory,memory.used.MiB,memory.total.MiB,memory.free.MiB
0, GPU-98d97ad6-4528-7be9-28a9-1508130aa10e, NVIDIA A100-SXM4-40GB, 100, 22, 33849, 40960, 6593
1, GPU-2c6ca625-a7f0-3450-05b6-6dd4d0877798, NVIDIA A100-SXM4-40GB, 100, 10, 33827, 40960, 6615
