index,uuid,name,utilization.gpu,utilization.memory,memory.used.MiB,memory.total.MiB,memory.free.MiB
0, GPU-758f1527-a375-0e1b-8f66-857f0c798e2f, NVIDIA A100-SXM4-80GB, 0, 0, 15586, 81920, 65756
1, GPU-34fabfd6-da8d-42a1-a162-1c18ae8e31d9, NVIDIA A100-SXM4-80GB, 100, 0, 16406, 81920, 64936
